,City_Name,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed,Max_Temp,Wind_Speed
0,butaritari,76,KI,1553385538,100,3.07,172.79,,,80.08,8.75
1,gamba,0,CN,1553385539,26,28.28,88.52,,,-16.5,2.26
2,barrow,24,AR,1553385539,85,-38.31,-60.23,,,57.85,12.77
3,taltal,0,CL,1553385281,83,-25.41,-70.49,,,62.26,2.37
4,east london,0,ZA,1553385540,91,-33.02,27.91,,,76.12,24.52
5,bredasdorp,92,ZA,1553384859,83,-34.53,20.04,,,69.8,3.36
6,los llanos de aridane,75,ES,1553385362,59,28.66,-17.92,,,64.4,12.75
7,taolanaro,,,,,,,,,,
8,birjand,0,IR,1553382000,70,32.86,59.22,,,44.6,11.41
9,rikitea,80,PF,1553385528,97,-23.12,-134.97,,,79.72,17.69
10,chokurdakh,36,RU,1553385541,72,70.62,147.9,,,-6.15,4.38
11,new norfolk,20,AU,1553385495,52,-42.78,147.06,,,72.0,10.29
12,batsfjord,0,NO,1553385458,100,70.63,29.72,,,35.71,16.8
13,castro,90,CL,1553382000,82,-42.48,-73.76,,,55.4,1.12
14,punta arenas,75,CL,1553385196,81,-53.16,-70.91,,,53.6,9.17
15,chuy,8,UY,1553385542,81,-33.69,-53.46,,,65.32,11.32
16,port hardy,40,CA,1553382000,58,50.7,-127.42,,,53.6,6.93
17,turan,0,RU,1553385542,63,52.15,93.92,,,5.83,1.7
18,severo-kurilsk,88,RU,1553385543,99,50.68,156.12,,,30.04,19.48
19,beringovskiy,88,RU,1553385093,94,63.05,179.32,,,12.76,19.82
20,mwene-ditu,88,CD,1553385543,94,-7.01,23.45,,,69.46,4.61
21,vaini,0,IN,1553385543,88,15.34,74.49,,,62.44,0.92
22,cherskiy,20,RU,1553385544,68,68.75,161.3,,,4.75,2.15
23,olafsvik,,,,,,,,,,
24,constitucion,5,MX,1553385016,7,23.99,-104.67,,,77.0,6.93
25,busselton,12,AU,1553385317,57,-33.64,115.35,,,54.0,13.33
26,cape town,0,ZA,1553385317,93,-33.93,18.42,,,70.0,8.05
27,bonavista,92,CA,1553384760,87,48.65,-53.11,,,37.0,9.19
28,omboue,88,GA,1553385545,100,-1.57,9.26,,,78.46,2.15
29,ushuaia,40,AR,1553382000,62,-54.81,-68.31,,,53.6,8.05
30,karratha,64,AU,1553385546,57,-20.74,116.85,,,83.86,36.93
31,geraldton,20,CA,1553382000,17,49.72,-86.95,,,51.8,12.75
32,hambantota,0,LK,1553385469,100,6.12,81.12,,,78.73,4.38
33,ongandjera,36,NA,1553385546,65,-17.88,15.07,,,70.0,1.7
34,kodiak,90,US,1553385517,58,39.95,-94.76,,,55.99,6.93
35,tiznit,92,MA,1553385547,99,29.7,-9.73,,,59.56,4.72
36,albany,1,US,1553385370,53,42.65,-73.75,,,34.0,17.22
37,viedma,20,AR,1553385547,49,-40.81,-62.99,,,63.16,19.82
38,puerto ayora,20,EC,1553384831,74,-0.74,-90.35,,,84.2,11.41
39,lebu,75,ET,1553382000,44,8.96,38.73,,,60.8,4.7
40,serenje,20,ZM,1553385548,80,-13.23,30.22,,,64.6,11.77
41,kilindoni,0,TZ,1553385548,100,-7.91,39.67,,,82.15,3.94
42,kevsala,76,RU,1553385549,95,45.79,42.68,,,34.36,6.73
43,saint george,0,GR,1553381400,81,39.45,22.34,,,44.6,4.16
44,daru,56,SL,1553385549,89,7.99,-10.85,,,72.7,4.94
45,mataura,92,NZ,1553385549,51,-46.19,168.86,,,70.81,5.95
46,georgetown,20,GY,1553382000,69,6.8,-58.16,,,82.4,6.93
47,avarua,76,CK,1553383800,74,-21.21,-159.78,,,84.2,8.05
48,port alfred,0,ZA,1553385539,95,-33.59,26.89,,,71.01,16.58
49,lasa,0,CY,1553384721,76,34.92,32.53,,,57.2,4.7
50,cuiluan,80,CN,1553385551,63,47.72,128.65,,,23.65,6.96
51,ilebo,92,CD,1553385551,99,-4.33,20.59,,,71.53,1.03
52,zhangye,0,CN,1553385184,58,38.94,100.46,,,24.82,9.19
53,esperance,20,TT,1553385306,69,10.24,-61.45,,,80.6,9.17
54,batagay,24,RU,1553385552,64,67.65,134.64,,,-0.66,2.93
55,saldanha,0,PT,1553385552,68,41.42,-6.55,,,44.8,4.94
56,honningsvag,44,NO,1553385375,94,70.98,25.97,,,29.68,9.86
57,moron,0,VE,1553385153,70,10.49,-68.2,,,73.33,3.38
58,carnarvon,76,ZA,1553385552,21,-30.97,22.13,,,69.73,4.72
59,caravelas,76,BR,1553385281,100,-17.73,-39.27,,,82.06,16.69
60,porto recanati,0,IT,1553385547,70,43.44,13.66,,,53.01,4.7
61,hobart,20,AU,1553385375,52,-42.88,147.33,,,72.0,10.29
62,mangrol,0,IN,1553385553,60,25.33,76.51,,,57.13,2.37
63,kindia,44,GN,1553385554,66,10.05,-12.86,,,77.11,1.59
64,san isidro,12,PH,1553385556,71,16.74,121.63,,,74.68,3.38
65,guozhen,92,CN,1553385556,100,29.3,113.14,,,43.9,2.93
66,tamandare,56,BR,1553385556,87,-8.28,-70.75,,,78.73,3.71
67,makinsk,56,KZ,1553385557,70,52.63,70.42,,,19.15,2.93
68,jamestown,80,AU,1553385557,70,-33.21,138.6,,,71.98,14.23
69,yellowknife,20,CA,1553385448,43,62.45,-114.38,,,14.0,10.29
70,katherine,88,AU,1553382000,88,-14.47,132.26,,,80.6,6.93
71,atuona,64,PF,1553385558,99,-9.8,-139.03,,,82.6,16.69
72,sitka,0,US,1553384799,47,37.17,-99.65,,,64.0,5.99
73,palafrugell,0,ES,1553385382,70,41.92,3.16,,,57.99,2.24
74,khatanga,0,RU,1553385446,28,71.98,102.47,,,-19.38,3.15
75,pevek,0,RU,1553385559,78,69.7,170.27,,,-7.86,1.7
76,liepaja,0,LV,1553383200,75,56.52,21.02,,,41.0,10.29
77,bolungarvik,,,,,,,,,,
